"Module","Tumor_cor","Tumor_pvalue"
"MEdarkturquoise",-0.223409885290145,2.50392045866652e-07
"MEcyan",-0.381051713388812,1.74862939501296e-19
"MEgreen",-0.819496325488423,8.00675403026684e-128
"MEgreenyellow",-0.47734912068876,4.60015479545532e-31
"MEdarkgreen",-0.0774069655380546,0.0772359553847678
"MElightcyan",0.316530824388404,1.30355176969607e-13
"MEmidnightblue",-0.195880227958271,6.53318877739732e-06
"MEblue",-0.332355796965404,6.28989811658989e-15
"MEpurple",-0.471740538220086,2.77706662857783e-30
"MEblack",-0.112995091497127,0.0097739558575296
"MEmagenta",0.193333791352782,8.64282235722277e-06
"MEtan",-0.317275008585571,1.13485244472509e-13
"MEturquoise",-0.520987487353791,1.16827961904873e-37
"MEyellow",0.431141705207102,4.83158243712607e-25
"MElightyellow",-0.222770748316922,2.71437528094159e-07
"MEsalmon",-0.320038326156228,6.760399966087e-14
"MEpink",0.1917510793684,1.02658429996409e-05
"MEred",0.325175708122046,2.54403979118751e-14
"MEgrey60",0.367212756422082,4.14973781712754e-18
"MEroyalblue",0.837688140317575,1.05203823715076e-138
"MEdarkred",-0.163802966289461,0.000170658327241826
"MEbrown",0.21690039938867,5.63284828065868e-07
"MElightgreen",0.562127077046427,8.10717349717149e-45
"MEgrey",0.564394974765549,3.0521135493499e-45
