"Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k."
1,0.278505589335233,8.69632386687193,0.920225594132754,4169.54619058399,4138.18532550317,4697.05177876684
2,0.0446130397942898,1.43954043905189,0.787656427855921,2260.79671605643,2193.06943707392,2941.94500767178
3,0.0555535071917216,-0.934261963283082,0.656875859912789,1273.91489176781,1195.4263298361,1963.35479428701
4,0.450694944893026,-1.9801282972417,0.74565752065219,745.491289428277,672.664455681792,1385.29553057174
5,0.714723813564038,-2.23443320990016,0.861816644509634,452.758055146401,389.931825938283,1022.21507918141
6,0.807864071757618,-2.17404438617718,0.905693977238366,285.092028332576,232.746830518405,779.449117934087
7,0.84521718511809,-2.05720013963714,0.927121080297711,185.860742029957,141.883861447211,609.871666017376
8,0.858180899032572,-1.9502485180354,0.939419509494291,125.216615634655,88.3160912731932,487.072052736401
9,0.872824484816745,-1.84968124756103,0.949043787454543,86.9803599225262,55.9595367216602,395.48018857818
10,0.863771810193094,-1.80113498272528,0.943929069158495,62.1380289706353,36.3503279742514,325.487264256435
11,0.855902444032871,-1.75283006335799,0.943938969905399,45.5309643525051,24.0359586833405,270.916694571657
12,0.864273861987612,-1.69899104784904,0.953816110358053,34.1280337378979,16.0882639682273,228.320736212476
13,0.860493584393448,-1.67261177764028,0.955241810195863,26.1016280882698,10.9820981897995,195.451612074751
14,0.859561724207444,-1.65698052632408,0.9608500784345,20.3217064607763,7.59360494913582,168.637014441484
15,0.851580910869625,-1.65387743181955,0.962822144567581,16.0722871476776,5.31922305896036,146.51216031342
16,0.840335683309958,-1.64878071716905,0.962739700528251,12.8889544917801,3.78584257102032,128.075158854809
17,0.828794089752868,-1.64165467464799,0.961901477220987,10.4636395733237,2.70740806708596,112.57665861357
18,0.819621421949027,-1.64484140369564,0.961045819176263,8.58759916102371,1.9411929825678,99.4468936068096
19,0.806992696762674,-1.66129995954954,0.960757858564859,7.11653843229267,1.41332878756532,88.24629435037
20,0.812349020616944,-1.64277837139976,0.966268956379311,5.94883419379913,1.03117488370514,78.6313249269398
