"GeneID","ensembl_clean","Module","MM","GS_Tumor","gene_name","gene_type"
"ENSG00000129824.16","ENSG00000129824","grey",0.0675649080864918,-5.79124886348999e-05,"RPS4Y1","protein_coding"
"ENSG00000016490.16","ENSG00000016490","green",-0.381916992498844,-0.407485230345324,"CLCA1","protein_coding"
"ENSG00000067048.17","ENSG00000067048","grey",0.0121206859188014,-0.00187535390724488,"DDX3Y","protein_coding"
"ENSG00000012817.16","ENSG00000012817","grey",0.00629602882034074,-0.0170415989053161,"KDM5D","protein_coding"
"ENSG00000131002.12","ENSG00000131002","grey",0.000955890281206887,0.00110527043642399,"TXLNGY","transcribed_unprocessed_pseudogene"
"ENSG00000115386.6","ENSG00000115386","lightcyan",0.205813060976055,0.213901803262942,"REG1A","protein_coding"
"ENSG00000174992.8","ENSG00000174992","green",-0.421314519432214,-0.541881667274896,"ZG16","protein_coding"
"ENSG00000198692.10","ENSG00000198692","grey",0.0124946750633402,-0.0102320160210107,"EIF1AY","protein_coding"
"ENSG00000179914.5","ENSG00000179914","cyan",-0.338407469661137,-0.370839607832558,"ITLN1","protein_coding"
"ENSG00000114374.13","ENSG00000114374","grey",-0.0287518916848215,-0.0196916704772707,"USP9Y","protein_coding"
"ENSG00000229807.12","ENSG00000229807","grey",-0.0494385162370967,-0.00450543247172415,"XIST","lncRNA"
"ENSG00000197888.2","ENSG00000197888","green",-0.37256270667366,-0.378493702703447,"UGT2B17","protein_coding"
"ENSG00000211890.4","ENSG00000211890","purple",-0.353792195730853,-0.452833560928608,"IGHA2","IG_C_gene"
"ENSG00000183878.15","ENSG00000183878","grey",-0.00946358599427958,-0.0262312200529999,"UTY","protein_coding"
"ENSG00000170835.16","ENSG00000170835","yellow",0.404168093422287,0.303368081439293,"CEL","protein_coding"
"ENSG00000172016.16","ENSG00000172016","lightcyan",0.236848950440177,0.210713225158784,"REG3A","protein_coding"
"ENSG00000016602.9","ENSG00000016602","green",-0.521731797416498,-0.601767932142435,"CLCA4","protein_coding"
"ENSG00000099725.14","ENSG00000099725","grey",0.0121367768064498,0.0102020538420268,"PRKY","protein_coding"
"ENSG00000167434.10","ENSG00000167434","green",-0.467969228792665,-0.587727092016971,"CA4","protein_coding"
"ENSG00000108244.17","ENSG00000108244","yellow",0.556034797181483,0.420416353480587,"KRT23","protein_coding"
"ENSG00000134193.15","ENSG00000134193","cyan",0.0360131209877223,0.042822248821555,"REG4","protein_coding"
"ENSG00000172023.8","ENSG00000172023","lightcyan",0.170373379016321,0.167046989139717,"REG1B","protein_coding"
"ENSG00000091138.13","ENSG00000091138","green",-0.426475949248029,-0.512003283315934,"SLC26A3","protein_coding"
"ENSG00000067646.12","ENSG00000067646","grey",-0.0376737594420038,-0.0351623748802301,"ZFY","protein_coding"
